leftside,rightside,support
n,v,0.834359400998336
J,l,0.8341098169717138
v,o,0.8337770382695507
v,",",0.83369384359401
C,B,0.8334442595673877
v,r,0.8334442595673877
M,A,0.8331114808652246
c,R,0.8328618968386023
J,t,0.8328618968386023
y,P,0.8326955074875207
C,g,0.8322795341098169
B,k,0.8322795341098169
u,L,0.8321131447587354
u,b,0.8321131447587354
t,v,0.8316139767054909
d,L,0.831198003327787
h,p,0.8310316139767054
S,A,0.830865224625624
l,v,0.8304492512479201
g,k,0.8304492512479201
s,v,0.8303660565723794
D,T,0.829783693843594
y,R,0.8295341098169717
m,P,0.8292845257903494
h,L,0.8292013311148086
g,D,0.8291181364392679
u,p,0.8290349417637272
C,k,0.8287021630615641
b,h,0.828369384359401
p,d,0.828369384359401
J,h,0.8277038269550748
B,D,0.8268718801996672
M,P,0.8264559068219633
c,L,0.8262895174708819
J,u,0.8261231281198004
k,D,0.8260399334442595
c,p,0.8257903494176373
b,d,0.8257071547420965
m,R,0.8257071547420965
C,D,0.8256239600665557
y,L,0.8253743760399335
A,T,0.8252911813643927
c,b,0.8250415973377704
g,A,0.8249584026622296
S,P,0.8249584026622296
G, ,0.8245424292845258
M,R,0.8240432612312812
e,G,0.8238768718801996
a,G,0.8238768718801996
S,R,0.8237104825291182
u,v,0.8226289517470882
J,d,0.8226289517470882
n,G,0.8225457570715474
m,L,0.8224625623960067
B,A,0.8224625623960067
G,",",0.8223793677204659
P,T,0.8222961730449251
y,p,0.8222129783693843
C,A,0.8221297836938436
S,p,0.8220465890183029
G,r,0.8218801996672213
v,d,0.8217970049916805
m,p,0.8215474209650583
h,v,0.8214642262895174
c,J,0.8213810316139767
m,b,0.8212978369384359
i,G,0.8211314475873545
G,o,0.8207154742096506
F, ,0.8201331114808652
k,A,0.8201331114808652
y,b,0.8201331114808652
J,y,0.819883527454243
g,P,0.8198003327787021
l,G,0.8196339434276206
k,P,0.8192179700499168
e,F,0.8189683860232945
S,L,0.8187188019966722
a,F,0.8187188019966722
s,G,0.8186356073211315
B,P,0.8185524126455906
c,v,0.8184692179700499
F,r,0.8183860232945092
i,F,0.8183028286189684
M,L,0.8182196339434277
F,o,0.8180532445923461
M,p,0.8179700499168053
n,F,0.8178036605657238
A,D,0.8175540765391015
F,",",0.8174708818635608
t,G,0.81738768718802
g,R,0.8173044925124792
m,J,0.8168053244592346
M,b,0.8167221297836939
R,T,0.8166389351081531
y,v,0.8162229617304493
l,F,0.8159733777038269
C,P,0.8158069883527455
S,b,0.8157237936772047
B,R,0.8149750415973378
p,T,0.8149750415973378
g,L,0.8148918469217971
J,M,0.8144758735440932
s,F,0.8143094841930116
t,F,0.8139767054908486
P,D,0.8138103161397671
C,R,0.8137271214642263
k,R,0.8133111480865225
L,T,0.8125623960066556
